State,White Count,Black or African American Count,American Indian and Alaska Native Count,Asian Count,Native Hawaiian and Other Pacific Islander Count,White,Non-White,Population
AL,3444170,1338287,66733,83922,8417,0.7,0.3,4941529
AK,538439,40105,143826,60357,13863,0.68,0.32,796590
AZ,5866028,403715,429351,298851,33112,0.83,0.17,7031057
AR,2423098,490231,58338,58001,11176,0.8,0.2,3040844
CA,29829257,2989322,1078986,6515820,353666,0.73,0.27,40767051
CO,4924392,304298,148150,234407,20723,0.87,0.13,5631970
CT,2973455,466878,40962,189355,7928,0.81,0.19,3678578
DE,686510,228005,12698,42792,1758,0.71,0.29,971763
DC,310455,335822,9141,35701,1952,0.45,0.55,693071
FL,16105079,3642783,203379,714500,52373,0.78,0.22,20718114
GA,6471396,3364359,112516,469137,22097,0.62,0.38,10439505
HI,625545,56565,37862,800924,372557,0.33,0.67,1893453
ID,1582432,22007,46816,38167,6735,0.93,0.07,1696157
IL,10158377,2009937,139840,792383,18006,0.77,0.23,13118543
IN,5802782,712550,62546,170482,8835,0.86,0.14,6757195
IA,2918467,140006,31348,87393,5392,0.92,0.08,3182606
KS,2600063,222885,68432,103189,6288,0.87,0.13,3000857
KY,3973642,413580,36636,79643,6668,0.88,0.12,4510169
LA,3018632,1559188,63567,103549,6473,0.64,0.36,4751409
ME,1283417,26532,19660,22096,1227,0.95,0.05,1352932
MD,3719735,1926573,76800,449737,13684,0.6,0.4,6186529
MA,5719673,659668,70214,497736,14627,0.82,0.18,6961918
MI,8120835,1530388,153104,355114,11516,0.8,0.2,10170957
MN,4806425,393395,117564,305656,8185,0.85,0.15,5631225
MS,1810897,1146449,30132,40208,3656,0.6,0.4,3031342
MO,5191705,783917,82875,151859,14795,0.83,0.17,6225151
MT,948121,11400,86007,14172,2263,0.89,0.11,1061963
NE,1725974,113682,39891,54858,4140,0.89,0.11,1938545
NV,2289173,311617,77354,304715,41415,0.76,0.24,3024274
NH,1270573,27973,11838,41869,1458,0.94,0.06,1353711
NJ,6668060,1439670,100180,937938,18632,0.73,0.27,9164480
NM,1768183,69601,246717,49952,6523,0.83,0.17,2140976
NY,14266468,3786724,318526,1896550,51465,0.7,0.3,20319733
NC,7338788,2348191,229119,337071,21605,0.71,0.29,10274774
ND,685059,23131,49847,14030,1334,0.89,0.11,773401
OH,9835361,1634412,101965,297064,13210,0.83,0.17,11882012
OK,3139997,364882,532016,109864,11396,0.76,0.24,4158155
OR,3668824,120634,136727,232842,32355,0.88,0.12,4191382
PA,10790836,1653996,107484,496055,17815,0.83,0.17,13066186
RI,919445,100579,18738,44883,3234,0.85,0.15,1086879
SC,3424068,1404522,53394,98970,8451,0.69,0.31,4989405
SD,752209,21594,88266,15182,1357,0.86,0.14,878608
TN,5308260,1192750,69939,144530,11262,0.79,0.21,6726741
TX,22354174,3672788,452905,1477101,68288,0.8,0.2,28025256
UT,2799925,58496,67414,103556,44933,0.91,0.09,3074324
VT,604675,11993,7822,13294,597,0.95,0.05,638381
VA,6100738,1776464,104395,643928,20773,0.71,0.29,8646298
WA,6051963,398503,244833,749934,88121,0.8,0.2,7533354
WV,1755201,84131,14728,20371,1514,0.94,0.06,1875945
WI,5155368,435145,100614,185599,6611,0.88,0.12,5883337
WY,554788,11757,21746,9067,1449,0.93,0.07,598807